Unnamed: 0,abstract,articleType,article_links,category,content,download_link,header,pub_date,url,content_keywords
0,"Heat stress harms human health, agriculture, and the economy and environment more broadly, and exposure to heat stress is increasing with rising global temperatures. While most studies assessing future heat stress have focused on surface air temperature, compound extremes of heat and humidity are key drivers of heat stress. Here, we use atmospheric reanalysis data and a large initial-condition ensemble simulations of a global climate model to evaluate future changes in daily compound heat-humidity extremes as a function of increasing global-mean surface air temperature (GSAT). The changing frequency of heat-humidity extremes, measured using wet bulb globe temperature (WBGT), is strongly related to GSAT and, conditional upon GSAT, nearly independent of forcing pathway. The historical ~1°C of GSAT increase above preindustrial levels has already increased the population annually exposed to at least one day with WBGT exceeding 33°C (the reference safety value for humans at rest per the ISO-7243 standard) from 97 million to 275 million. Maintaining the current population distribution, this exposure is projected to increase to 508 million with 1.5°C of warming, 789 million with 2.0°C of warming, and 1.22 billion with 3.0°C of warming (similar to late-century warming projected based on current mitigation policies).",Journal Article,['https://iopscience.iop.org/article/10.1088/1748-9326/ab7d04'],climateScience,,https://impactlab.org/wp-content/uploads/2017/09/Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,Escalating Global Exposure to Compound Heat-Humidity Extremes with Warming,"Published March 7, 2020",https://impactlab.org/research/escalating-global-exposure-to-compound-heat-humidity-extremes-with-warming/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
1,"Mechanisms such as ice-shelf hydrofracturing and ice-cliﬀ collapse may rapidly increase dis-charge from marine-based ice sheets. Here, we link a probabilistic framework for sea-level projections to a small ensemble of Antarctic ice-sheet (AIS) simulations incorporating these physical processes to explore their inﬂuence on global-mean sea-level (GMSL) and relative sea-level (RSL). We compare the new projections to past results using expert assessment and structured expert elicitation about AIS changes. Under high greenhouse gas emissions (Representative Concentration Pathway [RCP] 8.5), median pro-jected 21st century GMSL rise increases from 79 to 146 cm. Without protective measures, revised median RSL projections would by 2100 submerge land currently home to 153 million people, an increase of 44 million. The use of a physical model, rather than simple parameterizations assuming constant accelera-tion of ice loss, increases forcing sensitivity: overlap between the central 90% of simulations for 2100 for RCP 8.5 (93–243 cm) and RCP 2.6 (26–98 cm) is minimal. By 2300, the gap between median GMSL esti-mates for RCP 8.5 and RCP 2.6 reaches >10 m, with median RSL projections for RCP 8.5 jeopardizing land now occupied by 950 million people (versus 167 million for RCP 2.6). The minimal correlation between the contribution of AIS to GMSL by 2050 and that in 2100 and beyond implies current sea-level observations cannot exclude future extreme outcomes. The sensitivity of post-2050 projections to deeply uncertain physics highlights the need for robust decision and adaptive management frameworks.",Journal Article,['http://onlinelibrary.wiley.com/doi/10.1002/2017EF000663/abstract;jsessionid=B56A08DA36D079F275518C0156E20AFE.f04t03'],climateScience,,https://impactlab.org/wp-content/uploads/2017/09/Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,Evolving Understanding of Antarctic Ice-Sheet Physics and Ambiguity in Probabilistic Sea-Level Projections,"Published December 13, 2017",https://impactlab.org/research/evolving-understanding-antarctic-ice-sheet-physics-ambiguity-probabilistic-sea-level-projections/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
2,"This assessment concludes, based on extensive evidence, that it is extremely likely that human activities, especially emissions of greenhouse gases, are the dominant cause of the observed warming since the mid-20th century. For the warming over the last century, there is no convincing alternative explanation supported by the extent of the observational evidence.",Journal Article,['https://science2017.globalchange.gov/'],climateScience,,https://impactlab.org/wp-content/uploads/2017/09/Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,"Climate Science Special Report: Fourth National Climate Assessment, Volume I","Published November 3, 2017",https://impactlab.org/research/climate-science-special-report-fourth-national-climate-assessment-volume/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
3,,Report,[],climateScience,,http://www.gao.gov/assets/690/687466.pdf,Climate Change: Information on Potential Economic Effects Could Help Guide Federal Efforts to Reduce Fiscal Exposure,"Published October 24, 2017",https://impactlab.org/research/climate-change-information-potential-economic-effects-help-guide-federal-efforts-reduce-fiscal-exposure/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
4,"The impacts of heat waves in a warming climate depend not only on changing temperatures but also on changing humidity. Using 35 simulations from the Community Earth System Model Large Ensemble (CESM LENS), we investigate the long‐term evolution of the joint distribution of summer relative humidity (RH) and daily maximum temperature (Tmax) near four U.S. cities (New York City, Chicago, Phoenix, and New Orleans) under the high‐emissions Representative Concentration Pathway (RCP) 8.5. We estimate the conditional quantiles of RH given Tmax with quantile regression models, using functions of temperature for each city in July for three time periods (1990–2005, 2026–2035, and 2071–2080). Quality‐of‐fit diagnostics indicate that these models accurately estimate conditional quantiles for each city. As expected, each quantile of Tmax increases from 1990–2005 to 2071–2080, while mean RH decreases modestly. Conditional upon a fixed quantile of Tmax, the median and high quantiles of RH decrease, while those of the Heat Index (HI) and dew point both increase. This result suggests that, despite a modest decrease in median relative humidity, heat stress measured by metrics considering both humidity and temperature in a warming climate will increase faster than that measured by temperatures alone would indicate. For a fixed Tmax, the high quantiles of RH (and thus of HI and dew point) increase from 1990–2005 to 2071–2080 in all four cities. This result suggests that the heat stress of a day at a given Tmax will increase in a warming climate due to the increase of RH.",Journal Article,"['https://doi.org/10.1029/2019JD032100', 'https://doi.org/10.1029/2019JD032100']",climateScience,,http://www.gao.gov/assets/690/687466.pdf,The Evolving Distribution of Relative Humidity Conditional Upon Daily Maximum Temperature in a Warming Climate,"Published September 9, 2020",https://impactlab.org/research/the-evolving-distribution-of-relative-humidity-conditional-upon-daily-maximum-temperature-in-a-warming-climate/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
5,This paper outlines a two-step process to return the United States government’s Social Cost of Carbon (SCC) to the frontier of economics and climate science. The first step is to implement the original 2009-2010 Interagency Working Group (IWG) framework using a discount rate of 2%. This can be done immediately and will result in an SCC for 2020 of $125. The second step is to reconvene a new IWG tasked with comprehensively updating the SCC over the course of several months that would involve the integration of multiple recent advances in economics and science. We detail these advances here and provide recommendations on their integration into a new SCC estimation framework.,Working Paper,"['https://ssrn.com/abstract=3764255', 'https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3764255']",socialCost,"


The social cost of carbon (SCC), the total cost to society from the release of a ton of CO2 emissions, is vital in evaluating the benefits and costs of climate policies. To bring the SCC to the frontier of knowledge, Tamma Carleton and Michael Greenstone of the Climate Impact Lab recommend that the Biden administration immediately update it by using a discount rate of no higher than 2 percent and including global damages. These changes would produce a social cost of carbon of $125 per metric ton. As a second step, they recommend that the Biden administration form an interagency working group with the goal of returning the SCC to the frontier of understanding about the science and economics of climate change.
The Challenge and the Policy
The social cost of carbon (SCC), the monetized damages of an additional metric ton of CO2, is a key tool in evaluating which climate policies will lead to benefits that exceed costs. In the United States, the first consistent government-wide SCC came in 2010 after the Obama administration formed an Inter-agency Working Group (IWG) to provide a scientifically robust evaluation. The figure was updated to reflect the best available science in 2013 to be $52 per ton of CO2 in 2020.
Since its release, the U.S. SCC has played a central role in climate policy both inside the United States and internationally. As of 2017, the federal government had used the SCC to assess the value of more than 80 regulations with a combined $1 trillion in estimated gross benefits. Further, several countries, including Canada, Mexico, the United Kingdom, France, Norway and Germany, have taken inspiration from the United States to implement their own SCC estimates, with some wholesale adopting the IWG framework.
Rapid scientific and economic advances mean that there is now an urgent need to update the SCC. In fact, in 2017, the National Academies of Sciences, Engineering, and Medicine
(NAS) released a report on how to bring the SCC closer to the scientific frontier. Unfortunately, the Trump administration disbanded the IWG and reduced the SCC to between $1 and $7, making changes in assumptions that were difficult to justify based on science and economics. In the past four years, the controversial and substantially lower SCC estimates used by the Trump administration have paved the way for the rollback of key environmental regulations, such as fuel economy standards.
Recommendations
To return the SCC to the frontier of knowledge, a two-step approach could be considered:
IMMEDIATE CHANGES
First, simply and immediately, the Biden administration can carry out the approach used to develop the initial estimate under the Obama administration (which included global damages, unlike the Trump SCC), but with a discount rate of no higher than 2 percent to reflects profound changes in international capital markets that make the current discount rate difficult to justify. This would result in a substantially higher social cost of $125 per ton of carbon.

Based on recent asset market trends, the discount rate, measuring the present value of future damages to society, should be set at no higher than 2 percent. In order to compare future costs and benefits to costs and benefits of actions taken today, a discount rate is used to reduce future values. Profound changes in global capital markets in recent years point to using a discount rate of 2 percent or lower.
Global damages should be incorporated. Although focusing exclusively on the domestic costs of climate change may appear to put U.S. interests first, the opposite has been shown to be true. For example, the United States leveraged 6-7 tons of CO2 reduction commitments from other countries for every ton that it pledged to cut in the Paris Climate Agreement. Ultimately, the United States’ leadership in global diplomacy is necessary to protect its citizens from climate damages caused by emissions in all countries. To use a domestic SCC would be to abandon this role and risk losing out on the benefits from foreign emissions reductions.

COMPREHENSIVE UPDATE
As a second step, the Biden administration can launch a reconstituted Inter-agency Working Group and task it with comprehensively updating the SCC. Doing so would require several essential updates (in addition to those above), and several other useful changes, as outlined here.
Essential Updates

Use an updated climate model to more accurately reflect the effect of emissions on the climate system. Existing climate models behind the SCC substantially underestimate the speed of temperature increase. A simple Earth system model that can conduct uncertainty analysis while also matching predictions from more complex, state-of-the-art models is necessary. This model can be paired with semi- e empirical models of sea level rise.
The measurement of damages from changes in the physical climate (e.g., temperature and sea level rise) should be updated to meet three important criteria. Damage functions in the current SCC are derived from ad-hoc assumptions and simplified relationships. But large-scale empirical evidence has since deepened our understanding of the economic impacts of climate change. An updated damage function should: 1) be derived from empirical estimates that reflect plausibly causal impacts of weather events on socioeconomic outcomes; 2) capture local-level nonlinearities for the entire global population (not just high-income, temperate regions); and 3) account for future adaptation.

Other Updates

Rely on a set of socioeconomic projections that can be linked to the widely-used Representative Concentration Pathway (RCP) emissions scenarios or on new probabilistic projections that combine statistical methods with expert elicitation. Any SCC calculation relies on a set of predictions regarding how the global economy, population, and CO2 emissions will evolve in the future. Unfortunately, there has been only modest scientific progress in developing these scenarios due to the stubborn difficulties in making long-run population and economic growth projections. We recommend either combining standard socioeconomic projections (e.g., SSPs) with the RCP emissions scenarios, or using new probabilistic estimates relying on statistical and expert elicitation approaches.
The SCC should account for the considerable uncertainty about climate change damages. There are several sources of uncertainty in the calculation of the SCC (i.e. future socioeconomics, the sensitivity of the climate to emissions, economic damages from climate change), and evidence reveals that people dislike risk and are willing to pay to reduce uncertainty. Previous SCC estimates, however, chose not to account for uncertainty in valuing climate damages. Due to recent advances in computing, it is now possible to characterize these uncertainties and to incorporate their value into the calculation of the SCC.
While a strong case for equity weighting exists, incorporating it should not be done until wider guidance is issued across the government. A marginal dollar is worth more to a poor person than a wealthy one. Applying this principle to the SCC would require “equity-weighting” such that a given amount of climate damages projected to occur in poorer areas contribute more to the SCC than equal damages that occur in wealthier regions. However, conducting equity weighting would represent a significant departure from standard United States cost-benefit analysis—having significant precedential implications beyond climate regulations and environmental policy.

Summary of Recommendations



",https://impactlab.org/wp-content/uploads/2021/01/Updating-the-United-States-Governments-Social-Cost-of-Carbon.pdf,Updating the United States Government’s  Social Cost of Carbon,"Published January 14, 2021",https://impactlab.org/research/updating-the-united-states-governments-social-cost-of-carbon/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
6,"Climate change will impact many economic sectors and aspects of natural and human wellbeing. Quantifying these impacts as they vary across regions, sectors, time, and social and climatological scenarios supports detailed planning, policy, and risk management. This article summarises and compares recent climate impact assessments in Europe (the JRC PESETA III project) and the USA (the American Climate Prospectus project). Both implement a multi-sector perspective combining high resolution climate data with sectoral impact and economic models. The assessments differ in their coverage of sectors and scenarios, mix of empirical and process-based methods, handling of uncertainty, and representation of damages. Despite the dissimilarities, projected relative economic impacts are comparable, with human mortality as the dominant impact category. Both studies further show a large spatial heterogeneity of impacts that may amplify pre-existing economic inequality in the EU and US, and that mitigation can considerably reduce economic impacts. The comparison highlights the various decision-points involved in interdisciplinary climate impact modelling and lessons learnt in both projects, on the basis of which we provide recommendations for further research.",Journal Article,['https://iopscience.iop.org/article/10.1088/1748-9326/ab281e'],socialCost,,https://impactlab.org/wp-content/uploads/2021/01/Updating-the-United-States-Governments-Social-Cost-of-Carbon.pdf,Assessing future climate change impacts in the EU and the USA: insights and lessons from two continental-scale projects,"Published July 26, 2019",https://impactlab.org/research/assessing-future-climate-change-impacts-in-the-eu-and-the-usa-insights-and-lessons-from-two-continental-scale-projects/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
7,"We assess scientific evidence that has emerged since the U.S. Environmental Protection Agency’s 2009 Endangerment Finding for six well-mixed greenhouse gases, and find that this new evidence lends increased support to the conclusion that these gases pose a danger to public health and welfare. Newly available evidence about a wide range of observed and projected impacts strengthens the association between risk of some of these impacts and anthropogenic climate change; indicates that some impacts or combinations of impacts have the potential to be more severe than previously understood; and identifies substantial risk of additional impacts through processes and pathways not considered in the endangerment finding. This research, co-authored by Lab co-director Solomon Hsiang of the University of California’s Goldman School, points to evidence from a number of academic contributions by members of our research team.",Journal Article,['http://science.sciencemag.org/content/early/2018/12/12/science.aat5982'],socialCost,,https://impactlab.org/wp-content/uploads/2021/01/Updating-the-United-States-Governments-Social-Cost-of-Carbon.pdf,Strengthened scientific support for the Endangerment Finding for atmospheric greenhouse gases,"Published December 14, 2018",https://impactlab.org/research/0-review-strengthened-scientific-support-for-the-endangerment-finding-for-atmospheric-greenhouse-gases/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
8,"Despite the Trump administration’s decision to withdraw the official estimate of the Social Cost of Carbon and disband the interagency working group that developed it, a group of prominent economists and lawyers have highlighted the metric’s continued validity for policy-making. In a letter published in the journal Science, the group takes on key criticisms surrounding the metric, which quantifies the economic costs of carbon dioxide emissions and is used when assessing the costs and benefits of regulations. The letter encourages both government and private-sector analysts to continue using the interagency working group’s Social Cost of Carbon estimate.",Journal Article,['http://science.sciencemag.org/content/357/6352/655/tab-pdf'],socialCost,,https://impactlab.org/wp-content/uploads/2021/01/Updating-the-United-States-Governments-Social-Cost-of-Carbon.pdf,Best cost estimate of greenhouse gases,"Published August 18, 2017",https://impactlab.org/research/best-cost-estimate-of-greenhouse-gases/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
9,Michael Greenstone describes pathbreaking new work by the Climate Impact Lab on how to forecast climate damages. Greenstone presented the teams work alongside other experts at the National Academy of Science.,Report,['http://sites.nationalacademies.org/DBASSE/BECS/DBASSE_172006'],socialCost,,https://impactlab.org/wp-content/uploads/2021/01/Updating-the-United-States-Governments-Social-Cost-of-Carbon.pdf,Assessing Approaches to Updating the Social Cost of Carbon,"Published May 5, 2017",https://impactlab.org/research/assessing-approaches-to-updating-the-social-cost-of-carbon/,"migration,sitext,table,tables,precipitation,provinces,climate,pnas,forexample,fig"
