Year,Algeria,Argentina,Bangladesh,Belarus,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,"Egypt, Arab Rep.",France,Germany,Greece,India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Italy,Japan,Kazakhstan,"Korea, Rep.",Kuwait,Malaysia,Mexico,Netherlands,Nigeria,Oman,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russian Federation,Saudi Arabia,South Africa,Spain,Thailand,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,"Venezuela, RB",Vietnam
1990,76970.33,112147.861,15533.412,0,106049.64,208886.988,435181.225,33314.695,2442431.019,57337.212,0,75943.57,375691.484,0,74278.752,619154.615,149565.929,210463.798,47693.002,36295.966,417550.289,1096179.977,0,246943.114,51000.636,56592.811,318427.612,158403.399,39196.563,11386.035,68565.566,21070.582,41763.463,368423.49,11774.737,174087.158,0,185803.223,313304.813,218597.204,90805.921,145858.592,0,0,52009.061,555924.534,4823403.118,0,122162.438,21407.946
1991,79049.519,117098.311,15940.449,0,110959.753,219330.604,426780.128,31323.514,2565594.548,57120.859,0,78715.822,390689.514,929973.202,74062.399,658189.83,179730.671,227401.671,45643.149,36754.341,423894.199,1099381.268,0,261482.769,10190.593,68591.235,331958.842,165154.346,42273.176,11771.07,68242.87,20293.178,43930.66,361643.207,17704.276,140288.419,0,267768.007,326410.671,225634.177,99782.737,148619.843,0,0,57010.849,566830.192,4820847.219,0,115440.827,21451.95
1992,80138.618,121352.031,17748.28,87417.613,111968.178,220705.729,440978.752,32474.952,2690455.898,62049.307,138176.227,81264.387,365893.26,891975.748,75499.863,699087.881,202576.081,228468.768,59112.04,42790.223,420535.227,1123847.492,262043.82,284280.508,21085.25,75298.178,334698.091,162224.413,46614.904,12079.098,72789.95,20425.19,48752.765,354745.58,26802.103,128645.694,2078668.286,285534.622,301687.757,233921.597,109778.979,153108.251,33028.669,630929.352,58136.618,556280.233,4909533.614,111806.83,105972.633,21477.619
1993,82210.473,117927.053,17407.249,76768.645,107652.119,230738.641,445580.837,34627.481,2878694.009,64022.153,132631.723,93156.468,359916.05,877645.112,75712.549,723697.118,218600.871,237214.563,63362.093,45074.764,411917.777,1109887.223,217621.782,321951.599,33274.358,91722.671,339468.858,164802.314,45137.103,13457.89,78008.091,23615.48,49482.498,353253.111,30722.126,125297.723,1938445.873,313818.193,321049.517,219253.597,124949.358,159136.799,28316.574,539335.026,65980.331,545711.939,5028674.444,116232.899,124391.974,23006.758
1994,86416.522,122408.127,18969.391,65056.247,112334.878,242154.012,456849.528,38103.797,3058241.33,67571.809,125734.096,85312.755,338119.402,865558.68,77909.082,764730.848,221413.46,265230.443,71334.151,48400.733,407378.031,1173315.322,199983.512,344037.94,38906.87,94010.879,352780.068,165323.028,35199.533,15306.058,84839.712,23289.117,54799.648,333972.025,30223.414,119140.83,1698378.384,307961.994,339168.164,233404.55,139158.983,156848.591,33534.715,441767.157,73130.981,546738.699,5094354.081,108664.211,129965.814,26230.051
1995,95294.329,127963.632,22816.074,60773.191,112327.544,258347.484,467637.842,41745.128,3320285.15,59614.419,123830.923,95723.368,349160.739,864110.215,78781.828,811562.105,224941.114,272942.144,74348.425,51099.645,430483.798,1183447.243,169166.044,374771.067,54821.65,121132.011,332816.92,178634.238,35841.258,15896.445,84484.013,23883.171,60710.852,344213.956,31789.223,126049.458,1631473.969,235161.043,362259.263,241611.296,161153.649,171974.966,34000.424,445943.87,70641.088,538117.582,5132919.92,103435.069,133350.455,29090.311
1996,97098.493,135000.605,24029.851,60164.469,118059.065,284782.887,479419.913,48499.742,3463089.131,60527.502,125378.397,102030.608,375306.449,889614.2,80241.294,882324.204,253290.691,276059.094,69500.651,53098.16,425830.375,1204690.174,141535.199,403780.704,50153.559,125374.73,346417.823,185847.227,39665.939,15104.373,94447.252,24389.217,62162.984,355754.005,32298.936,125407.733,1612966.62,258750.854,364400.791,233305.541,180255.052,188205.108,30670.788,412335.815,41059.399,551436.126,5252112.088,106170.651,122804.163,34667.818
1997,87340.606,138003.878,25063.945,59555.747,115341.818,300547.32,495294.356,56394.793,3469510.048,64909.567,127413.582,108202.169,351562.624,862276.715,83717.61,917685.085,278658.997,269293.479,68308.876,55881.413,430487.465,1200788.486,129459.768,430032.757,54920.659,124821.013,369769.279,178311.542,42328.181,15485.741,94711.276,27476.831,71158.135,349523.772,37495.075,112624.571,1526011.049,216239.323,386131.433,252073.247,185916.9,198535.047,30623.117,341196.015,41646.119,527343.936,5368715.354,107234.081,133988.513,45100.433
1998,106999.393,139815.376,24048.186,58099.948,118374.427,312289.054,506533.711,57641.573,3324344.519,65976.664,122543.806,122243.112,377444.31,855364.42,87751.31,936221.77,214200.471,308508.377,72371.912,57095.19,440153.677,1157829.581,127321.907,364833.497,51745.037,114186.713,389087.035,178439.887,37869.109,16560.172,97663.211,27806.861,69240.294,325431.582,32401.612,99830.408,1495505.276,207680.545,377726.669,261541.441,164347.606,200614.236,32093.584,328636.54,81495.408,531905.684,5401010.623,119144.497,167339.878,47513.319
1999,92045.367,146984.361,25236.294,56112.434,114260.053,320173.104,515389.516,61502.924,3318055.614,56512.137,111975.512,125393.065,368918.535,822460.429,86636.542,995766.516,241988.997,382339.755,72283.904,55694.396,441998.178,1196516.431,116493.256,399864.348,54022.244,107934.478,391591.596,173665.453,40285.662,20707.549,100384.125,29358.002,69159.62,315721.366,31407.855,89742.491,1531130.181,226459.252,375236.776,282355.333,176126.01,196771.22,37678.425,332549.229,78374.791,530937.596,5504669.379,123035.184,173122.737,47693.002
